,date,price
154,2022-09-02,20153.975977982507
155,2022-09-03,19941.451370047158
156,2022-09-04,19814.5642451146
157,2022-09-05,19980.013222242276
158,2022-09-06,19785.73350185514
159,2022-09-07,18859.500087680277
160,2022-09-08,19280.62547645678
161,2022-09-09,19322.77774937157
162,2022-09-10,21359.58252557909
163,2022-09-11,21707.38731931814
164,2022-09-12,21739.80437979554
165,2022-09-13,22339.67050262336
166,2022-09-14,20184.96749189655
167,2022-09-15,20255.922978327133
168,2022-09-16,19702.169889811717
169,2022-09-17,19764.411712043777
170,2022-09-18,20131.675305714027
171,2022-09-19,19437.157867982634
172,2022-09-20,19570.386709523507
173,2022-09-21,18869.928809390534
174,2022-09-22,18539.63523831258
175,2022-09-23,19464.322663348466
176,2022-09-24,19291.904802452067
177,2022-09-25,18939.970580499372
178,2022-09-26,18809.41143933244
179,2022-09-27,19219.727780656474
180,2022-09-28,19116.331160710437
181,2022-09-29,19444.787771362975
182,2022-09-30,19563.765161776904
183,2022-10-01,19476.92659600407
184,2022-10-02,19314.463835217448
185,2022-10-03,19065.153837148988
186,2022-10-04,19620.567543591394
187,2022-10-05,20345.398520106643
188,2022-10-06,20161.830614985047
189,2022-10-07,19949.051041418512
190,2022-10-08,19457.308951251147
191,2022-10-09,19418.037989243952
192,2022-10-10,19448.14900175761
193,2022-10-11,19142.694767392895
194,2022-10-12,19058.628039738272
195,2022-10-13,19153.039779986986
196,2022-10-14,19383.9432200889
197,2022-10-15,19198.107144951755
198,2022-10-16,19072.780513358884
199,2022-10-16,19149.53398418481
